exported_at,period_mode,target,target_label,period,consume_kwh,is_current_period,total_power_kw,total_daily_energy_kwh,total_monthly_energy_kwh,effective_total_energy_kwh,comparison_delta_kwh,comparison_delta_pct,comparison_trend
2026-03-28T14:21:29,week,total,全部统计电表,2025-W13,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W14,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W15,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W16,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W17,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W18,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W19,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W20,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W21,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W22,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W23,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W24,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W25,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W26,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W27,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W28,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W29,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
2026-03-28T14:21:29,week,total,全部统计电表,2025-W30,0.0,0,2.53,4.9,4.9,95937.8,4.94,,up
